COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTEQLOCATION,SMOLTEQLOCPTCODE,OUTMIGRATIONYEAR,CONTACTAGENCY,METHODNUMBER,BESTVALUE,TOTALNATURAL,TOTALNATURALLOWERLIMIT,TOTALNATURALUPPERLIMIT,TOTALNATURALALPHA,AGE0PROP,AGE0PROPLOWERLIMIT,AGE0PROPUPPERLIMIT,AGE1PROP,AGE1PROPLOWERLIMIT,AGE1PROPUPPERLIMIT,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PLUSPROP,AGE4PLUSPROPLOWERLIMIT,AGE4PLUSPROPUPPERLIMIT,AGEPROPALPHA,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,INDICATORLOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,COMPILERRECORDID,ID,CONTACTAGY,DATASETVERSION,UPDDATE,SNLOADDATE,HLI_LASTUPDATED,LASTUPDATED,LASTMODIFIEDON
Chinook salmon,Fall,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,234,8,Grays and Chinook Rivers,Grays and Chinook Rivers - fall Chinook salmon,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall",,Portion,Trap is placed above minor tributaries approximatly 10 miles upstream of the mouth in the Grays River and does not include other possible spawning locations in the Chinook River and tributaries in between,Grays River,,2011,Washington Department of Fish And Wildlife,1,Yes,93994,72574,115414,0.05,,,,,,,,,,,,,,,,,,https://data.wa.gov/Natural-Resources-Environment/WDFW-Juvenile-Population-Abundance/cqra-s74n,,,,,No,Final,,Todd,Hillson,360-906-6730,Todd.Hillson@dfw.wa.gov,,WDFW,17239,7052FE91-5056-8E43-35B8-AEADA981BB3F,7052FE91-5056-8E43-35B8-AEADA981BB3F,WDFW,2024/11/25 10:00,2020/09/21 12:00:00,2017/09/21 07:26:38,2018/05/29 12:04:40,2017/09/15 12:00:00,2024/09/03 10:10:48
Chinook salmon,Fall,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,234,8,Grays and Chinook Rivers,Grays and Chinook Rivers - fall Chinook salmon,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall",,Portion,Trap is placed above minor tributaries approximatly 10 miles upstream of the mouth in the Grays River and does not include other possible spawning locations in the Chinook River and tributaries in between,Grays River,,2012,Washington Department of Fish And Wildlife,1,Yes,8923,6624,11222,0.05,,,,,,,,,,,,,,,,,,https://data.wa.gov/Natural-Resources-Environment/WDFW-Juvenile-Population-Abundance/cqra-s74n,,,,,No,Final,,Todd,Hillson,360-906-6730,Todd.Hillson@dfw.wa.gov,,WDFW,17239,70530B8E-5056-8E43-352E-341EB008DC80,70530B8E-5056-8E43-352E-341EB008DC80,WDFW,2024/11/25 10:00,2020/09/21 12:00:00,2017/09/21 07:26:38,2018/05/29 12:04:43,2017/09/15 12:00:00,2024/09/03 10:10:50
Chinook salmon,Fall,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,234,8,Grays and Chinook Rivers,Grays and Chinook Rivers - fall Chinook salmon,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall",,Portion,Trap is placed above minor tributaries approximatly 10 miles upstream of the mouth in the Grays River and does not include other possible spawning locations in the Chinook River and tributaries in between,Grays River,,2013,Washington Department of Fish And Wildlife,1,Yes,6273,5020,7526,0.05,,,,,,,,,,,,,,,,,,https://data.wa.gov/Natural-Resources-Environment/WDFW-Juvenile-Population-Abundance/cqra-s74n,,,,,No,Final,,Todd,Hillson,360-906-6730,Todd.Hillson@dfw.wa.gov,,WDFW,17239,7053189B-5056-8E43-3531-587FBD53EFB2,7053189B-5056-8E43-3531-587FBD53EFB2,WDFW,2024/11/25 10:00,2020/09/21 12:00:00,2017/09/21 07:26:39,2018/05/29 12:04:47,2017/09/15 12:00:00,2024/09/03 10:10:51
Chinook salmon,Fall,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,234,8,Grays and Chinook Rivers,Grays and Chinook Rivers - fall Chinook salmon,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall",,Portion,Trap is placed above minor tributaries approximatly 10 miles upstream of the mouth in the Grays River and does not include other possible spawning locations in the Chinook River and tributaries in between,Grays River,,2014,Washington Department of Fish And Wildlife,1,Yes,204826,140662,268990,0.05,,,,,,,,,,,,,,,,,,https://data.wa.gov/Natural-Resources-Environment/WDFW-Juvenile-Population-Abundance/cqra-s74n,,,,,No,Final,,Todd,Hillson,360-906-6730,Todd.Hillson@dfw.wa.gov,,WDFW,17239,7053259F-5056-8E43-350C-7F4753DE7506,7053259F-5056-8E43-350C-7F4753DE7506,WDFW,2024/11/25 10:00,2020/09/21 12:00:00,2017/09/21 07:26:39,2018/05/29 12:04:50,2017/09/15 12:00:00,2024/09/03 10:10:52
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2004,Washington Department of Fish and Wildlife,12,Yes,120876,95458,146294,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,951e760f-6ce1-42c5-93bd-b8ec173de2a7,951e760f-6ce1-42c5-93bd-b8ec173de2a7,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:16,,2020/10/27 07:49:16,2024/09/03 10:15:13
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2008,Washington Department of Fish and Wildlife,12,Yes,769791,693685,845897,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/publications/00076,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,a789b758-b386-4ed9-9e16-9f1efc31ad3f,a789b758-b386-4ed9-9e16-9f1efc31ad3f,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:18,,2020/10/27 07:49:18,2024/09/03 10:15:15
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2000,Washington Department of Fish and Wildlife,12,Yes,64723,59114,70332,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,679b5907-744a-4b16-b609-2e8ceb9b912d,679b5907-744a-4b16-b609-2e8ceb9b912d,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:14,,2020/10/27 07:49:14,2024/09/03 10:15:16
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2013,Washington Department of Fish and Wildlife,12,Yes,893877,815884,971870,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/publications/01632,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,9ad0c589-f05d-4f65-b662-474c52adbed0,9ad0c589-f05d-4f65-b662-474c52adbed0,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:20,,2020/10/27 07:49:20,2024/09/03 10:15:17
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2016,Washington Department of Fish and Wildlife,12,Yes,972641,564327,1380955,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01901/wdfw01901.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,17240,6d9b081c-543a-4a1a-82e9-0ecfb9628220,6d9b081c-543a-4a1a-82e9-0ecfb9628220,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:22,,2020/10/27 07:49:22,2024/09/03 10:15:19
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2010,Washington Department of Fish and Wildlife,12,Yes,152390,139332,165448,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01223/wdfw01223.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,00771145-4123-4081-b7e4-109f81ef8fd6,00771145-4123-4081-b7e4-109f81ef8fd6,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:19,,2020/10/27 07:49:19,2024/09/03 10:15:20
