COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTLOCATION,SMOLTDEF,SMOLTLOCPTCODE,ADULTLOCATION,SMOLTTOADULTLOCS,SARTYPE,SCOPEOFINFERENCE,OUTMIGRATIONYEAR,TRTMETHOD,CONTACTAGY,CONTACTAGENCY,METHODNUMBER,BESTVALUE,SAR,SARLOWERLIMIT,SARUPPERLIMIT,SARALPHA,RETURNSMISSING,RETURNSMISSINGEXPLANATION,REARINGTYPE,TSO,TSOLOWERLIMIT,TSOUPPERLIMIT,TSOALPHA,TAR,TARLOWERLIMIT,TARUPPERLIMIT,TARALPHA,RETURNDEF,HARVESTADJ,OCEANHARVEST,MAINSTEMHARVEST,TRIBHARVEST,BROODSTOCKREMOVED,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,INDICATORLOCATION,METRICLOCATION,MEASURELOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,COMPILERRECORDID,ID,DATASETVERSION,UPDDATE,SNLOADDATE,HLI_LASTUPDATED,LASTUPDATED,LASTMODIFIEDON
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Bonneville Dam,From Lower Granite Dam to Bonneville Dam,Excluding jacks,,2006,,FPC,Fish Passage Center,1,Yes,1.08,0.27,2.06,0.1,,,Natural,371,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_BOA 2006 w/o jacks,30F8CDC1-EDA0-3CDD-90D0-0F7CE45D4C5E,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:34:48,,2024/02/12 11:34:48,2024/07/31 04:03:10
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Lower Granite Dam,From Lower Granite Dam to Lower Granite Dam,Excluding jacks,,2006,,FPC,Fish Passage Center,1,Yes,0.27,0,0.74,0.1,,,Natural,371,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_GRA 2006 w/o jacks,30F4CE57-99BE-702F-31C6-141C6626F588,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:24:02,,2024/02/12 11:24:02,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Bonneville Dam,From Lower Granite Dam to Bonneville Dam,Including jacks,,2006,,FPC,Fish Passage Center,1,Yes,1.08,0.27,2.06,0.1,,,Natural,371,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_BOA 2006 w/ jacks,30E5C37A-9786-7AEC-AB8B-6271B58F6579,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 10:47:55,,2024/02/12 10:47:55,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Lower Granite Dam,From Lower Granite Dam to Lower Granite Dam,Including jacks,,2006,,FPC,Fish Passage Center,1,Yes,0.27,0,0.74,0.1,,,Natural,371,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_GRA 2006 w/ jacks,30E5CC38-FFE1-9070-E549-B883CDD771F3,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 10:47:59,,2024/02/12 10:47:59,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Bonneville Dam,From Lower Granite Dam to Bonneville Dam,Excluding jacks,,2008,,FPC,Fish Passage Center,1,Yes,2.32,0.96,3.81,0.1,,,Natural,301,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_BOA 2008 w/o jacks,30F4D6C2-D5B6-D595-C5A7-4EFECDA95E63,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:24:07,,2024/02/12 11:24:07,2024/07/31 04:03:10
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Lower Granite Dam,From Lower Granite Dam to Lower Granite Dam,Excluding jacks,,2008,,FPC,Fish Passage Center,1,Yes,1.33,0.33,2.48,0.1,,,Natural,301,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_GRA 2008 w/o jacks,30F4DD02-DFEE-B558-6992-A7B82D8FBEFE,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:24:11,,2024/02/12 11:24:11,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Bonneville Dam,From Lower Granite Dam to Bonneville Dam,Including jacks,,2008,,FPC,Fish Passage Center,1,Yes,3.32,1.69,5.11,0.1,,,Natural,301,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_BOA 2008 w/ jacks,30E5D403-AAA7-A22D-43D4-3DAF2F64D85A,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 10:48:03,,2024/02/12 10:48:03,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Lower Granite Dam,From Lower Granite Dam to Lower Granite Dam,Including jacks,,2008,,FPC,Fish Passage Center,1,Yes,1.99,0.69,3.39,0.1,,,Natural,301,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_GRA 2008 w/ jacks,30E5DB2A-0F35-78B6-CBC6-58CC20799B7D,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 10:48:08,,2024/02/12 10:48:08,2024/07/31 04:06:19
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Bonneville Dam,From Lower Granite Dam to Bonneville Dam,Excluding jacks,,2009,,FPC,Fish Passage Center,1,Yes,1.41,0.64,2.34,0.1,,,Natural,496,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_BOA 2009 w/o jacks,30F50F0C-CCDA-3C61-E830-D6223D386BAC,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:24:41,,2024/02/12 11:24:41,2024/07/31 04:03:10
Chinook salmon,Fall,Interior Columbia,"Salmon, Chinook (Snake River fall-run ESU)",Snake River,1,56,Snake River Lower Mainstem,Snake River Lower Mainstem - fall Chinook salmon,"Salmon, Chinook (Snake River fall-run ESU) Snake River Lower Mainstem - fall",,Portion,Data not available at exact scale of this population.  Portion of population below Lower Granite Dam not included.,Lower Granite Dam,Smolts outmigrating past a point,LGR,Lower Granite Dam,From Lower Granite Dam to Lower Granite Dam,Excluding jacks,,2009,,FPC,Fish Passage Center,1,Yes,0.81,0.2,1.51,0.1,,,Natural,496,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,1 LGR_to_GRA 2009 w/o jacks,30F515BA-F20B-41A3-B098-1131D05E8EB8,2024/11/25 10:00,2024/02/12 09:54:21,2024/02/12 11:24:46,,2024/02/12 11:24:46,2024/07/31 04:06:19
